total_distance,epsilon_required,num_pairs,src_len,trg_len
109,10,31,30,32
9,4,10,11,10
0,0,5,5,5
6,2,9,9,9
5,5,4,6,4
461,26,75,84,75
120,10,46,45,46
61,8,25,22,25
45,8,31,30,33
12,3,17,15,17
13,3,10,12,11
84,16,27,36,30
99,9,31,38,32
0,0,19,16,19
40,6,17,23,17
0,0,18,15,19
21,4,22,22,24
6,2,17,16,18
26,9,40,37,42
24,12,20,22,21
9,2,14,14,15
1,1,24,19,24
62,10,16,26,16
151,49,76,76,88
92,13,28,32,29
183,23,56,59,57
20,3,13,15,13
254,22,43,66,49
142,16,29,44,30
256,33,63,71,66
66,5,57,57,60
128,7,34,39,34
1,1,33,29,37
49,5,17,19,17
2,2,28,22,28
5,3,32,26,35
34,5,31,26,32
10,3,22,23,22
90,8,36,41,37
152,8,51,53,55
7,4,27,24,27
0,0,36,32,37
258,14,50,59,54
51,13,40,41,43
0,0,7,8,8
42,8,34,36,34
5,1,19,19,19
5,4,24,20,24
0,0,12,12,12
10,6,21,19,21
48,17,122,121,135
92,12,61,63,63
76,13,58,63,63
127,14,41,47,45
0,0,34,24,34
9,3,10,12,10
365,19,46,64,49
57,13,49,51,54
228,15,38,51,42
206,42,73,79,74
73,14,49,51,50
40,5,16,19,16
41,12,46,45,50
68,24,44,46,46
283,25,40,57,43
24,6,29,27,30
10,4,13,15,14
38,17,54,49,59
0,0,27,20,28
0,0,16,11,16
15,5,14,14,14
3,1,14,14,14
12,4,62,56,65
6,2,21,19,21
100,17,31,32,35
16,4,27,23,28
9,3,13,14,13
10,3,44,36,49
65,6,26,31,27
30,7,29,24,30
28,5,46,43,55
83,14,39,46,47
83,12,54,60,61
40,4,16,19,16
48,10,23,30,24
11,4,19,18,19
4,4,10,9,10
59,9,24,30,25
6,5,34,29,34
61,9,33,36,36
228,20,24,44,24
65,13,21,26,21
120,17,24,38,29
33,7,30,27,36
163,18,19,40,25
10,3,20,21,20
11,5,19,19,19
6,6,12,11,12
159,41,78,79,80
511,46,88,102,99
14,2,30,31,31
1,1,20,15,20
153,9,23,32,23
0,0,22,18,23
49,13,20,19,21
3,2,14,12,14
57,15,35,36,36
215,17,39,47,40
29,4,19,21,19
81,12,34,37,34
25,5,12,15,12
24,6,42,41,43
40,21,46,44,54
30,7,21,26,22
19,5,26,25,26
19,5,8,11,8
92,13,37,39,38
55,22,58,56,59
50,6,23,26,24
42,4,29,30,31
11,3,35,32,38
3,3,15,12,15
165,18,33,36,37
36,7,41,36,43
0,0,34,29,36
5,2,17,15,18
113,14,55,56,59
110,7,43,45,44
38,16,57,45,69
139,16,27,35,28
97,18,23,30,24
319,19,36,49,36
66,10,21,27,21
7,4,19,13,19
21,14,25,24,26
104,8,34,46,44
19,6,8,14,8
36,10,20,24,23
174,15,37,49,41
